acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,genre,label,tempo
0.5750833333333334,0.44275,0.3863358333333334,0.022717396666666667,0.2877083333333333,-14.205416666666665,0.18067500000000009,show tunes,5,115.9835
0.5469999999999999,0.7501249999999999,0.51975,0.0431371375,0.21397500000000005,-8.8785,0.276725,hip hop,24,114.229125
0.12812262295081964,0.7652459016393444,0.6417049180327874,0.038454471147541004,0.2011950819672132,-6.626918032786888,0.15591721311475404,underground hip hop,14,119.80436065573772
0.6365882352941177,0.541,0.4022823529411765,7.74823529411765e-06,0.1938235294117647,-9.405882352941175,0.1500058823529412,broadway,25,114.95252941176471
0.6010833333333333,0.6135833333333333,0.4115,1.964666666666667e-05,0.21566666666666667,-11.200333333333333,0.4595833333333333,show tunes,5,115.58
0.6044999999999999,0.7735000000000001,0.3095,0.0,0.2222,-12.669,0.28900000000000003,show tunes,5,105.7
0.10555625000000002,0.5571250000000001,0.6122499999999998,0.0233002525,0.1275875,-9.638125000000002,0.03215,new wave,56,103.08025
0.847,0.41,0.16899999999999998,0.0032700000000000003,0.117,-11.422,0.0485,reggaeton,33,89.494
0.029966666666666662,0.718,0.7643333333333334,9.4e-07,0.16333333333333333,-3.797333333333333,0.0552,k-pop,58,129.99200000000002
0.0116314,0.5892000000000002,0.8792,2.0259999999999997e-06,0.17112000000000002,-5.2597999999999985,0.17214000000000002,post-grunge,9,134.9694
0.06932,0.7246,0.6938,8e-07,0.16505999999999998,-5.021,0.05073999999999999,underground hip hop,14,93.9078
0.0971232375,0.39925,0.7516249999999999,0.00020406875,0.1507375,-5.071874999999999,0.0486125,post-grunge,9,147.91549999999995
0.1922949999999999,0.5814545454545456,0.5603909090909093,0.008825840454545457,0.25349090909090904,-12.977181818181812,0.041177272727272736,new wave pop,10,118.97309090909096
0.1583938181818182,0.666072727272727,0.5204363636363636,0.00014367200000000002,0.14321272727272727,-8.024036363636364,0.09762363636363636,pop rap,6,116.84376363636366
0.174,0.478,0.555,1.1e-05,0.103,-7.6,0.111,pop rap,6,128.72799999999998
0.0739,0.522,0.539,0.0,0.0664,-5.7410000000000005,0.0418,electro house,41,95.97
0.4185,0.757,0.60525,0.0007778500000000001,0.12425,-9.72575,0.044725,folk rock,61,128.4975
0.11121448979591836,0.7710918367346944,0.6424183673469387,0.0006208470408163262,0.20355510204081648,-6.024755102040817,0.22056530612244907,trap,13,125.02639795918371
0.0043100000000000005,0.517,0.747,0.0,0.345,-6.191,0.105,southern hip hop,3,134.058
0.000236,0.458,0.541,0.00183,0.0371,-12.130999999999998,0.0485,southern hip hop,3,133.57299999999998
0.1237767341772152,0.7918860759493672,0.551607594936709,0.015091409493670884,0.17880759493670892,-7.41145569620253,0.2842911392405064,trap,13,124.41951898734176
0.206,0.8140000000000001,0.68,0.0,0.101,-6.928,0.043,tropical,53,126.976
0.05980000000000001,0.5405,0.74,0.0,0.12435,-5.4345,0.18005000000000002,underground hip hop,14,117.9925
0.13185150853242314,0.7769078498293513,0.7081774744027309,0.007405551774744028,0.2241467576791808,-7.006529010238911,0.22346348122866894,rap,2,107.15816382252571
0.6054999999999999,0.4330000000000001,0.3765,0.0,0.1148,-11.488499999999998,0.0277,christian music,35,89.17299999999999
0.03847817454545454,0.503,0.7926727272727272,0.00612995145454545,0.15785090909090913,-5.679090909090909,0.037990909090909096,pop rock,1,128.84419999999997
0.022413531147540973,0.6188688524590163,0.8200655737704922,0.012122383442622956,0.16602459016393445,-7.354754098360658,0.06582459016393448,post-grunge,9,132.57375409836072
0.0328747711111111,0.5251555555555554,0.6304,0.025745799333333333,0.12511777777777774,-11.429977777777774,0.03260222222222224,rock,7,125.27055555555555
0.0558,0.7177999999999999,0.7196,2.168e-05,0.15058,-5.9238,0.11084000000000001,r&b,15,129.6848
0.099428,0.7996000000000001,0.6826000000000001,8.380000000000003e-05,0.14053999999999994,-13.5126,0.2478,rap,2,124.1922
0.18415,0.5286666666666666,0.57,5.1e-07,0.12663333333333335,-10.100499999999998,0.03825,new wave pop,10,117.87649999999998
0.2332,0.8775999999999999,0.5650000000000001,0.0,0.09664,-5.2062,0.31599999999999995,trap,13,127.28759999999996
0.8240000000000001,0.343,0.434,0.00236303,0.17056666666666664,-13.260666666666665,0.2211666666666668,broadway,25,111.19233333333334
0.00589,0.54,0.929,4.01e-06,0.424,-2.6460000000000004,0.278,k-pop,58,176.023
0.05982723404255321,0.5467553191489358,0.8077553191489362,1.1071702127659571e-05,0.17727021276595745,-4.4014574468085135,0.08325319148936171,pop,0,137.15309574468077
0.12739586826347302,0.6924850299401202,0.761335329341317,0.0005839498802395213,0.19189401197604788,-4.1007125748503,0.2641730538922157,pop rap,6,105.66044910179636
0.011873333333333336,0.8236666666666665,0.6523333333333333,0.0,0.2746666666666666,-7.742333333333333,0.26533333333333337,southern hip hop,3,140.03566666666669
0.224,0.748,0.66,0.053,0.101,-4.704,0.0487,underground hip hop,14,137.033
0.32181647058823537,0.6363725490196079,0.50921568627451,0.002125963921568628,0.1191803921568628,-8.32435294117647,0.1682235294117647,rap,2,118.1979803921568
0.00964,0.58,0.884,1.5e-06,0.116,-4.3580000000000005,0.0381,christian music,35,105.927
0.0166,0.764,0.672,1.06e-06,0.103,-4.274,0.0655,trap,13,150.02100000000004
0.06890714285714286,0.7885,0.6619285714285715,0.0005572821428571428,0.2342142857142857,-6.577428571428569,0.1915357142857143,southern hip hop,3,119.92014285714286
