acousticness,artists,danceability,energy,explicit,instrumentalness,key,liveness,loudness,name,popularity,release_date,speechiness,tempo,valence,days_from_release,duration_sec
0.344,"['Kygo', 'OneRepublic']",0.58,0.586,0,0.0,1,0.0755,-6.882999999999999,Lose Somebody,88,2020-05-15,0.0357,147.988,0.507,150,199.549
0.46399999999999997,"['Anuel AA', 'Bad Bunny']",0.691,0.765,1,3.29e-06,8,0.203,-4.727,Hasta Que Dios Diga,88,2020-05-29,0.111,174.021,0.855,136,246.0
0.703,"['Sleepy Hallow', 'Fousheé']",0.8759999999999999,0.479,1,0.0,4,0.102,-6.687,Deep End Freestyle,87,2020-04-03,0.44,133.858,0.7759999999999999,192,115.2
0.145,"['Khalid', 'Disclosure']",0.79,0.6940000000000001,0,0.00252,9,0.281,-7.726,Know Your Worth,87,2020-02-04,0.0708,103.007,0.508,251,181.436
0.39799999999999996,['Myke Towers'],0.8009999999999999,0.745,1,0.00603,6,0.153,-3.733,Diosa,87,2020-01-24,0.063,104.965,0.245,262,214.013
0.22899999999999998,['Camilo'],0.611,0.851,0,0.0,9,0.23199999999999998,-2.9819999999999998,Favorito,87,2020-03-26,0.0598,178.032,0.823,200,211.613
0.0604,"['Lady Gaga', 'BLACKPINK']",0.752,0.87,0,1.12e-05,9,0.489,-3.812,Sour Candy (with BLACKPINK),87,2020-05-28,0.0623,120.006,0.784,137,157.707
0.3,"['Nio Garcia', 'Anuel AA', 'Myke Towers', 'Brray', 'Juanka']",0.815,0.715,1,4.83e-06,4,0.091,-4.65,La Jeepeta - Remix,87,2020-04-24,0.207,176.007,0.7859999999999999,171,345.241
0.402,['Bad Bunny'],0.9,0.603,0,4.81e-06,2,0.134,-5.313,Si Veo a Tu Mamá,87,2020-02-28,0.0646,129.928,0.8240000000000001,227,170.972
0.0902,"['PARTYNEXTDOOR', 'Rihanna']",0.43,0.7,1,0.0,6,0.21600000000000005,-5.35,BELIEVE IT,86,2020-03-27,0.264,158.373,0.731,199,183.219
0.016,"['Bad Bunny', 'Don Omar']",0.772,0.83,1,0.0,7,0.0843,-5.019,PA' ROMPERLA,86,2020-05-10,0.0599,94.01100000000001,0.6970000000000001,155,194.2
0.125,['Sech'],0.805,0.562,0,4.96e-06,7,0.14800000000000002,-3.117,Relación,86,2020-04-02,0.105,172.09400000000005,0.767,193,184.255
